'	exclamation	lex112884.1_ἒ
Πελοπόννησον	noun	lex7704.1_Πελοπόννησος
Πενθεσίλειαν	noun	lex7712.1_Πενθεσιλεία
Πενθεσιλείας	noun	lex7712.1_Πενθεσιλεία
συμβέβηκε	verb	lex69295.1_συμβαίνω
συμβέβηκεν	verb	lex69295.1_συμβαίνω
συμβήσεται	verb	lex69295.1_συμβαίνω
συμβαίνει	verb	lex69295.1_συμβαίνω
συμβαλῶν	verb	lex69291.1_συμβάλλω
συμβαίνει	verb	lex69295.1_συμβαίνω
συμβεβηκός	verb	lex69295.1_συμβαίνω
συμβεβηκότων	verb	lex69295.1_συμβαίνω
συμβεβηκὸς	verb	lex69295.1_συμβαίνω
συμβεβηκὼς	verb	lex69295.1_συμβαίνω
συμβληθέντα	verb	lex69291.1_συμβάλλω
συμβολὴν	noun	lex69346.1_συμβολή
συμβολῆ	noun	lex69351.1_συμβολεύς
συμβουλίας	noun	lex69359.1_συμβουλία
συμβουλίᾳ	noun	lex69359.1_συμβουλία
συμβουλευτικόν	adjective	lex69363.1_συμβουλευτικός
συμβουλεύει	verb	lex69364.1_συμβουλεύω
συμβουλεύσαντος	verb	lex69364.1_συμβουλεύω
συμβουλεύῃ	verb	lex69364.1_συμβουλεύω
συμβουλήν	noun	lex69358.1_συμβουλή
συμβουλῆς	noun	lex69358.1_συμβουλή
συμβουλῇ	noun	lex69358.1_συμβουλή
συμβούλῳ	noun	lex72523.1_σύμβουλος
συμβὰν	verb	lex69295.1_συμβαίνω
συμβάλλεται	verb	lex69291.1_συμβάλλω
συμβάλλετον	verb	lex69291.1_συμβάλλω
συμβέβηκε	verb	lex69295.1_συμβαίνω
συμβόλῳ	noun	lex72521.1_σύμβολος
συμβόλῳ	noun	lex72520.1_σύμβολον
συμμάχοις	adjective	lex72529.1_σύμμαχος
συμμάχους	adjective	lex72529.1_σύμμαχος
συμμάχων	adjective	lex72529.1_σύμμαχος
συμμέτρως	adjective	lex72532.1_σύμμετρος
συμμαχήσει	verb	lex69381.1_συμμάχομαι
συμμαχήσει	verb	lex69399.1_συμμαχέω
συμμαχήσῃ	verb	lex69399.1_συμμαχέω
συμμαχήσῃ	verb	lex69381.1_συμμάχομαι
συμμαχίαν	noun	lex69400.1_συμμαχία
συμμαχίας	noun	lex69400.1_συμμαχία
συμμαχούντων	verb	lex69399.1_συμμαχέω
συμμαχούντών	verb	lex69399.1_συμμαχέω
συμμαχούσης	verb	lex69399.1_συμμαχέω
συμμαχίαν	noun	lex69400.1_συμμαχία
συμμαχίας	noun	lex69400.1_συμμαχία
συμπάσχοντα	verb	lex69486.1_συμπάσχω
συμπέρασμα	noun	lex69490.1_συμπέρασμα
συμπαθείας	noun	lex69479.1_συμπάθεια
συμπαρόντα	verb	lex69481.1_συμπάρειμι1
συμπεπλήρωκε	verb	lex69681.1_συμπληρόω
συμπεπληρωμένου	verb	lex69681.1_συμπληρόω
συμπεπτωκότε	verb	lex69502.1_συμπίτνω
συμπεριέφερε	verb	lex69639.1_συμπεριφέρω
συμπεριείληφεν	verb	lex69623.1_συμπεριλαμβάνω
συμπεριλαμβάνει	verb	lex69623.1_συμπεριλαμβάνω
συμπερούσης	verb	lex69599.1_συμπεράω
συμπεσοῦνται	verb	lex69502.1_συμπίτνω
συμπλήρωσιν	noun	lex69665.1_συμπλήρωσις
συμπλεκτικός	adjective	lex69674.1_συμπλεκτικός
συμπλεκτικὸς	adjective	lex69674.1_συμπλεκτικός
συμπλεύσας	verb	lex69661.1_συμπλέω
συμπλοκήν	noun	lex69683.1_συμπλοκή
συμπλοκῇ	noun	lex69683.1_συμπλοκή
συμποσίῳ	adjective	lex69778.1_συμπόσιος
συμποσίῳ	noun	lex69777.1_συμπόσιον
συμπρεσβεύει	verb	lex69740.1_συμπρεσβεύω
συμφέρον	verb	lex69782.1_συμφέρω
συμφέροντα	verb	lex69782.1_συμφέρω
συμφέροντι	verb	lex69782.1_συμφέρω
συμφερόντων	verb	lex69782.1_συμφέρω
συμφοράν	noun	lex69816.1_συμφορά
συμφοραῖς	noun	lex69816.1_συμφορά
συμφορὰν	noun	lex69816.1_συμφορά
συμφορὰς	noun	lex69816.1_συμφορά
συμφορᾶς	verb	lex69817.1_συμφοράζω
συμφορᾶς	noun	lex69816.1_συμφορά
συμφορᾶς	noun	lex69821.1_συμφορεύς
συμφορᾷ	noun	lex69816.1_συμφορά
συμφορᾷ	verb	lex69817.1_συμφοράζω
συμφράσσομαι	verb	lex69825.1_συμφράζω
συμφράσσομαι	verb	lex69827.1_συμφράσσω
συμφράσσομαι	verb	lex69824.1_συμφράζομαι
συμφραζομένων	verb	lex69825.1_συμφράζω
συμφραζομένων	verb	lex69824.1_συμφράζομαι
συμφυΐα	noun	lex69836.1_συμφυία
συμφυῶς	adjective	lex69835.1_συμφυής
συμφωνήσει	noun	lex69862.1_συμφώνησις
συμφωνήσει	verb	lex69847.1_συμφωνέω
συμφωνεῖ	verb	lex69847.1_συμφωνέω
συμφωνοῦντας	verb	lex69847.1_συμφωνέω
συμφόρημα	noun	lex69853.1_συμφόρημα
συμφώνου	adjective	lex72599.1_σύμφωνος
συμφώνων	adjective	lex72599.1_σύμφωνος
συμφώνως	adjective	lex72599.1_σύμφωνος
συμφέρει	verb	lex69782.1_συμφέρω
συμφέρον	verb	lex69782.1_συμφέρω
συμφέροντος	verb	lex69782.1_συμφέρω
συμφώνως	adjective	lex72599.1_σύμφωνος
συνάγεσθαι	verb	lex69880.1_συνάγω
Περγάμου	noun	lex7236.1_Πέργαμον
Περγάμου	noun	lex7237.1_Πέργαμος
Περικλύμενος	noun	lex7758.1_Περικλύμενος
Περικλύμενόν	noun	lex7758.1_Περικλύμενος
Περιμήδους	noun	lex7760.1_Περιμήδης
Περκώσιος	noun	lex7765.1_Περκώσιος
Περκώτη	noun	lex7766.1_Περκώτης
Περσέα	noun	lex7782.1_Περσεύς
Περσέα	noun	lex55883.1_περσέα
Περσέα	noun	lex7248.1_Πέρσης
Περσέως	noun	lex7782.1_Περσεύς
συνάγοντες	verb	lex69880.1_συνάγω
συνάδει	verb	lex69957.1_συνήδομαι
συνάπτει	verb	lex69900.1_συνάπτω
συνάπτειν	verb	lex69900.1_συνάπτω
συνάπτεσθαι	verb	lex69900.1_συνάπτω
συνάπτεται	verb	lex69900.1_συνάπτω
συνάπτηται	verb	lex69900.1_συνάπτω
συνάπτοι	verb	lex69900.1_συνάπτω
συνάπτοιμεν	verb	lex69900.1_συνάπτω
συνάπτοιτο	verb	lex69900.1_συνάπτω
συνάπτοντα	verb	lex69900.1_συνάπτω
συνάπτοντες	verb	lex69900.1_συνάπτω
συνάπτουσα	verb	lex69900.1_συνάπτω
συνάπτουσι	verb	lex69900.1_συνάπτω
συνάπτουσιν	verb	lex69900.1_συνάπτω
συνάπτωμεν	verb	lex69900.1_συνάπτω
συνάπτῃ	verb	lex69900.1_συνάπτω
συνάρχεσθαι	verb	lex69907.1_συνάρχω
συνέβαινε	verb	lex69295.1_συμβαίνω
συνέβαινεν	verb	lex69295.1_συμβαίνω
συνέβη	verb	lex69295.1_συμβαίνω
συνέδησε	verb	lex70407.1_συνδέω
συνέδησε	verb	lex70404.1_συνδέομαι
συνέδησεν	verb	lex70404.1_συνδέομαι
συνέδησεν	verb	lex70407.1_συνδέω
συνέδριον	noun	lex69914.1_συνέδριον
συνέκλεισαν	verb	lex68957.1_συγκλείω
συνέλκεται	verb	lex69922.1_συνέλκω
συνέμενος	verb	lex69974.1_συνίημι
συνέντες	verb	lex69974.1_συνίημι
συνέπειαν	noun	lex69935.1_συνέπεια
συνέπεισε	verb	lex69592.1_συμπείθω
συνέπλεξε	verb	lex69660.1_συμπλέκω
συνέριθος	noun	lex69946.1_συνέριθος
συνέρχονται	verb	lex69948.1_συνέρχομαι
συνέστακεν	verb	lex69978.1_συνίστημι
συνέσταλκεν	verb	lex71778.1_συστέλλω
συνέσταλται	verb	lex71778.1_συστέλλω
συνέστειλαν	verb	lex71778.1_συστέλλω
συνέστησεν	verb	lex69978.1_συνίστημι
συνέσχεεν	verb	http://data.perseus.org/collections/_σύν-εἰσχέω
συνέταξαν	verb	lex71395.1_συντάσσω
συνέτασσε	verb	lex71395.1_συντάσσω
συνέταττε	verb	lex71395.1_συντάσσω
συνέτυχε	verb	lex71515.1_συντυγχάνω
συνέφυγον	verb	lex69791.1_συμφεύγω
συνέχει	verb	lex71596.1_συνόχωκα
συνέχει	verb	lex69080.1_συγχέω
συνέχειαν	noun	lex69954.1_συνέχεια
συνέχειν	verb	lex71596.1_συνόχωκα
συνέχεται	verb	lex71596.1_συνόχωκα
συνέχων	verb	lex69136.1_συγχώννυμι
συνέχων	verb	lex71596.1_συνόχωκα
συνήγαγέ	verb	lex69880.1_συνάγω
συνήγαγον	verb	lex69880.1_συνάγω
συνήθει	adjective	lex69959.1_συνήθης
συνήθεια	noun	lex69958.1_συνήθεια
συνήθειαν	noun	lex69958.1_συνήθεια
συνήθεις	adjective	lex69959.1_συνήθης
συνήθη	adjective	lex69959.1_συνήθης
συνήθης	adjective	lex69959.1_συνήθης
συνήθως	adverb	lex69959.1_συνήθης
συνήλικες	noun	lex71608.1_συνῆλιξ
συνήπτετο	verb	lex69900.1_συνάπτω
συνήρχοντο	verb	lex69907.1_συνάρχω
συνήρχοντο	verb	lex69948.1_συνέρχομαι
συνήχθη	verb	lex69880.1_συνάγω
συνίστανται	verb	lex69978.1_συνίστημι
συνίστανται	verb	lex71195.1_συνιστάω
συνίστησι	verb	lex69978.1_συνίστημι
συνίστησι	verb	lex71195.1_συνιστάω
συνίστησιν	verb	lex71195.1_συνιστάω
συνίστησιν	verb	lex69978.1_συνίστημι
συναίρεσιν	noun	lex69987.1_συναίρεσις
συναγαγεῖν	verb	lex69880.1_συνάγω
συναγαγοῦσα	verb	lex69880.1_συνάγω
συναγαγόντος	verb	lex69880.1_συνάγω
συναγαγών	verb	lex69880.1_συνάγω
συναγαγὼν	verb	lex69880.1_συνάγω
συναγελαστικὰ	adjective	lex70001.1_συναγελαστικός
συναγωγήν	noun	lex70023.1_συναγωγή
συναγωγὴν	noun	lex70023.1_συναγωγή
συναγωνίζεται	verb	lex70027.1_συναγωνίζομαι
συναθετεῖται	verb	lex70041.1_συναθετέω
συναθροίσας	verb	lex70043.1_συναθροίζω
συναθροιζόμεθα	verb	lex70043.1_συναθροίζω
συναινεῖ	verb	lex70051.1_συναινέω
συναιομένους	verb	http://data.perseus.org/collections/_σύν-ἀίω1
συναιρεῖν	verb	lex70054.1_συναιρέω
συναιρῶν	verb	lex70054.1_συναιρέω
συνακολούθησαν	verb	lex70074.1_συνακολουθέω
συναλείφειν	verb	lex70097.1_συναλείφω
συναλειφθείσας	verb	lex70097.1_συναλείφω
συναλειφομένων	verb	lex70097.1_συναλείφω
συναλειφόμεναι	verb	lex70097.1_συναλείφω
συναλείψας	verb	lex70097.1_συναλείφω
συναλιφή	noun	lex70104.1_συναλιφή
συναλιφήν	noun	lex70104.1_συναλιφή
Περσεφόνειαν	noun	lex7780.1_Περσεφόνεια
Περσεφόνην	noun	lex7781.1_Περσεφόνη
Περσεφόνην	noun	lex10945.1_Φερσέφασσα
Περσεφόνην	noun	lex7781.1_Περσεφόνη
Περσεφόνην	noun	lex10945.1_Φερσέφασσα
Περσεφόνης	noun	lex7781.1_Περσεφόνη
Περσεφόνης	noun	lex10945.1_Φερσέφασσα
Περσεύς	noun	lex7782.1_Περσεύς
Περσηϊάδαο	noun	lex7778.1_Περσείδης
Περσῶν	noun	lex7248.1_Πέρσης
Περσῶν	verb	lex50346.1_πέρθω
Περσῶν+	verb	lex50346.1_πέρθω
Περσῶν+	noun	lex7248.1_Πέρσης
Περὶ	preposition	lex54377.1_περί
συναλιφὴ	noun	lex70104.1_συναλιφή
συναλιφὴν	noun	lex70104.1_συναλιφή
συναλιφήν	noun	lex70104.1_συναλιφή
συναλιφῆς	noun	lex70104.1_συναλιφή
συναλιφῇ	noun	lex70104.1_συναλιφή
συναλιφῶν	noun	lex70104.1_συναλιφή
συναμφότερον	adjective	lex70129.1_συναμφότεροι
συνανέλθοι	verb	http://data.perseus.org/collections/_σύν-ἀνέρχομαι
συναναγκάζοντα	verb	lex70144.1_συναναγκάζω
συναναμισγομένην	verb	lex70171.1_συναναμίγνυμι
συνανατραφῆναι	verb	http://data.perseus.org/collections/_σύν-ἀνατρέφω
συνανεσράφη	verb	http://data.perseus.org/collections/_σύν,ἀνά,εἰσ-ῥάπτω
συναντήσας	verb	lex70221.1_συναντάω
συναντόμενος	verb	lex69896.1_συνάντομαι
συναντῆσαι	verb	lex70221.1_συναντάω
συναποδημοῦσαν	verb	lex70258.1_συναποδημέω
συναπολήγει	verb	http://data.perseus.org/collections/_σύν-ἀπολήγω
συναπτέον	adjective	lex70301.1_συναπτέον
συναπτικοῦ	adjective	lex70302.1_συναπτικός
συναπτομένη	verb	lex69900.1_συνάπτω
συναπτόμενα	verb	lex69900.1_συνάπτω
συναπτόμενον	verb	lex69900.1_συνάπτω
συναπτόντων	verb	lex69900.1_συνάπτω
συναπτὲον	adjective	lex70301.1_συναπτέον
συναπτέον	adjective	lex70301.1_συναπτέον
συναπτόμενα	verb	lex69900.1_συνάπτω
συναριθμεῖν	verb	lex70320.1_συναριθμέω
συναριθμεῖσθαι	verb	lex70320.1_συναριθμέω
συναρμόζοντος	verb	lex70334.1_συναρμόζω
συναρπάσαι	verb	lex70336.1_συναρπάζω
συναρτήσαντες	verb	lex70339.1_συναρτάω
συναφὲς	adjective	lex70390.1_συναφής
συναφὴν	noun	lex70389.1_συναφή
συναφὴς	adjective	lex70390.1_συναφής
συναφῆ	adjective	lex70390.1_συναφής
συναφῇ	verb	lex69900.1_συνάπτω
συναφῇ	noun	lex70389.1_συναφή
συναχθέντα	verb	lex69880.1_συνάγω
συναχθόμενος	verb	lex69911.1_συνάχθομαι
συναχθῶσιν	verb	lex69880.1_συνάγω
συνδένδρω	adjective	lex72624.1_σύνδενδρος
συνδένδρῳ	adjective	lex72624.1_σύνδενδρος
συνδέον	verb	lex70407.1_συνδέω
συνδέον	verb	lex70404.1_συνδέομαι
συνδέσμου	noun	lex72627.1_σύνδεσμος
συνδέσμουν	verb	http://data.perseus.org/collections/_σύν-δεσμεύω
συνδέσμουν	verb	http://data.perseus.org/collections/_σύν-δεσμέω
συνδέσμους	noun	lex72627.1_σύνδεσμος
συνδέσμω	noun	lex72627.1_σύνδεσμος
συνδέσμῳ	noun	lex72627.1_σύνδεσμος
συνδήσῃ	verb	lex70407.1_συνδέω
συνδήσῃ	verb	lex70404.1_συνδέομαι
συνδεδέσθαι	verb	lex70407.1_συνδέω
συνδεδεμένον	verb	lex70407.1_συνδέω
συνδεδεμένος	verb	lex70407.1_συνδέω
συνδεδραμήκασιν	verb	lex71496.1_συντρέχω
συνδεῖται	verb	lex70407.1_συνδέω
συνδεῖται	verb	lex70404.1_συνδέομαι
συνδιεφθάρη	verb	lex70501.1_συνδιαφθείρομαι
συνδιώξας	verb	lex70529.1_συνδιώκω
συνδέον	verb	lex70404.1_συνδέομαι
συνδέον	verb	lex70407.1_συνδέω
συνδέσμου	noun	lex72627.1_σύνδεσμος
συνδέσμῳ	noun	lex72627.1_σύνδεσμος
συνείληπται	verb	lex69255.1_συλλαμβάνω
συνείπετο	verb	lex71062.1_συνεῖπον
συνείπετο	verb	lex69938.1_συνέπομαι
συνεβίω	verb	lex69332.1_συμβιόω
συνεβούλευεν	verb	lex69364.1_συμβουλεύω
συνεβούλευσε	verb	lex69364.1_συμβουλεύω
συνεβούλευσεν	verb	lex69364.1_συμβουλεύω
συνεβούλευσεν	verb	lex69364.1_συμβουλεύω
συνεδίωξε	verb	lex70529.1_συνδιώκω
συνεδρίου	noun	lex69914.1_συνέδριον
συνειλήσας	verb	lex70587.1_συνειλέω
συνειλοχὼς	verb	lex69240.1_συλλέγω
συνειργομένων	verb	http://data.perseus.org/collections/_συνέργω
συνεκδέξασθαι	verb	http://data.perseus.org/collections/_σύν-ἐκδείκνυμι
συνεκδέξασθαι	verb	http://data.perseus.org/collections/_σύν-ἐκδέχομαι
συνεκδοχικῶς	adjective	lex70624.1_συνεκδοχικός
συνεκδοχῇ	noun	lex70623.1_συνεκδοχή
συνεκδρομὴν	noun	lex70625.1_συνεκδρομή
συνεκδέξασθαι	verb	http://data.perseus.org/collections/_σύν-ἐκδέχομαι
συνεκδέξασθαι	verb	http://data.perseus.org/collections/_σύν-ἐκδείκνυμι
Πετεώς	noun	lex7803.1_Πετεώς
Πετεῶνα	noun	lex7802.1_Πετεών
Πετεῶο	noun	lex7803.1_Πετεώς
Πηγάσῳ	noun	lex7254.1_Πήγασος
συνεκοιμήθη	verb	lex68976.1_συγκοιμάομαι
συνεκτέθλιπται	verb	http://data.perseus.org/collections/_σύν-ἐκθλίβω
συνεκτικώτατα	adjective	lex70687.1_συνεκτικός
συνεκτικὸν	adjective	lex70687.1_συνεκτικός
συνεκυνήγουν	verb	lex69055.1_συγκυνηγέω
συνεκόπη	verb	lex69069.1_συγκόπτω
συνελάσαι	verb	lex70708.1_συνελαύνω
συνελασθῶσιν	verb	lex70708.1_συνελαύνω
συνελαυνομένων	verb	lex70708.1_συνελαύνω
συνελθεῖν	verb	lex69948.1_συνέρχομαι
συνεμάχησε	verb	lex69399.1_συμμαχέω
συνεμάχουν	verb	lex69399.1_συμμαχέω
συνεμπίπτοντα	verb	lex70725.1_συνεμπίπτω
συνεμπτώσεως	noun	lex69924.1_συνέμπτωσις
συνεμπέσῃ	verb	lex70725.1_συνεμπίπτω
συνεμάχουν	verb	lex69399.1_συμμαχέω
συνεξέδραμε	verb	lex70691.1_συνεκτρέχω
συνεξομοίωσεν	verb	lex70793.1_συνεξομοιόω
συνεξομοιῶν	verb	lex70793.1_συνεξομοιόω
συνεξῆλθεν	verb	lex70744.1_συνεξέρχομαι
συνεπείας	noun	lex69935.1_συνέπεια
συνεπείᾳ	noun	lex69935.1_συνέπεια
συνεπιβαρύνας	verb	http://data.perseus.org/collections/_σύν-ἐπιβαρύνω
συνεπιβαρύνας	verb	http://data.perseus.org/collections/_σύν,ἐπί-βαρύνω
συνεπλέκετο	verb	lex69660.1_συμπλέκω
συνεργεῖ	adjective	lex70962.1_συνεργής
συνεργεῖ	verb	lex70961.1_συνεργέω
συνεργεῖν	verb	lex70961.1_συνεργέω
συνεργὸν	adjective	lex70972.1_συνεργός
συνεργός	adjective	lex70972.1_συνεργός
συνεργῆσαι	verb	lex70961.1_συνεργέω
συνερχομένω	verb	lex69948.1_συνέρχομαι
συνερχόμενοι	verb	lex69948.1_συνέρχομαι
συνερχόμενοι	verb	lex69948.1_συνέρχομαι
συνεστάλη	verb	lex71778.1_συστέλλω
συνεστακὼς	verb	lex69978.1_συνίστημι
συνεσταλμένον	verb	lex71778.1_συστέλλω
συνεσταλμένου	verb	lex71778.1_συστέλλω
συνεσταλμένως	verb	lex71778.1_συστέλλω
συνεσταλμένως	adverb	lex70990.1_συνεσταλμένως
συνεσταλμένῳ	verb	lex71778.1_συστέλλω
συνεσταλμένης	verb	lex71778.1_συστέλλω
συνεσταλμένον	verb	lex71778.1_συστέλλω
συνεσταλμένως	adverb	lex70990.1_συνεσταλμένως
συνεσταλμένως	verb	lex71778.1_συστέλλω
συνεστηκέναι	verb	lex69978.1_συνίστημι
συνεστηκυῖα	verb	lex69978.1_συνίστημι
συνεστράτευσαν	verb	lex71821.1_συστρατεύω
συνεστράφησαν	verb	lex71817.1_συστρέφω
συνεστώσης	verb	lex69978.1_συνίστημι
συνεστῶτος	verb	lex69978.1_συνίστημι
συνεσφαίρωται	verb	http://data.perseus.org/collections/_σύν-σφαιρόω
συνεσφιγμένοι	verb	lex71838.1_συσφίγγω
συνετάττετο	verb	lex71395.1_συντάσσω
συνετέθη	verb	lex71404.1_συντίθημι
συνετός	adjective	lex71003.1_συνετός
συνετώτατον	adjective	lex71003.1_συνετός
συνετώτερος	adjective	lex71003.1_συνετός
συνετὴν	adjective	lex71003.1_συνετός
συνετήρησεν	verb	lex71471.1_συντηρέω
συνετὸν	adjective	lex71003.1_συνετός
συνετὸς	adjective	lex71003.1_συνετός
συνετός	adjective	lex71003.1_συνετός
συνετώτατος	adjective	lex71003.1_συνετός
συνετῆς	adjective	lex71003.1_συνετός
συνετῶς	adjective	lex71003.1_συνετός
συνεφθάρθαι	verb	lex69794.1_συμφθείρω
συνεφώνουν	verb	lex69847.1_συμφωνέω
συνεφώρμησεν	verb	http://data.perseus.org/collections/_σύν-ἐφορμέω
συνεφώρμησεν	verb	http://data.perseus.org/collections/_σύν-ἐφορμάω
συνεφώνει	verb	lex69847.1_συμφωνέω
συνεχεῖς	adjective	lex71052.1_συνεχής
συνεχύθη	verb	lex69080.1_συγχέω
συνεχὲς	adjective	lex71052.1_συνεχής
συνεχῆ	adjective	lex71052.1_συνεχής
συνεχῶς	adjective	lex71052.1_συνεχής
συνεὶς	verb	lex69974.1_συνίημι
συνείληπται	verb	lex69255.1_συλλαμβάνω
συνεῖχον	verb	lex71596.1_συνόχωκα
συνηγμένοι	verb	lex69880.1_συνάγω
συνηγορεῖ	verb	lex71068.1_συνηγορέω
συνηθεία	noun	lex69958.1_συνήθεια
συνηθείας	noun	lex69958.1_συνήθεια
συνηθείᾳ	noun	lex69958.1_συνήθεια
συνηθεστέρᾳ	adjective	lex69959.1_συνήθης
Πηλέα	noun	lex7837.1_Πηλεύς
Πηλέως	noun	lex7837.1_Πηλεύς
Πηλίου	noun	lex7261.1_Πήλιον
Πηλείδεω	noun	lex7837.1_Πηλεύς
Πηλείδεω	noun	lex7833.1_Πηλείδης
Πηλείωνα	noun	lex7834.1_Πηλείων
Πηλείωνα	noun	lex7837.1_Πηλεύς
Πηλείωνι	noun	lex7834.1_Πηλείων
Πηλείωνι	noun	lex7837.1_Πηλεύς
Πηλείωνος	noun	lex7834.1_Πηλείων
Πηλείωνος	noun	lex7837.1_Πηλεύς
συνηθροίσθησαν	verb	lex70043.1_συναθροίζω
συνηθροισμένων	verb	lex70043.1_συναθροίζω
συνημμένα	verb	lex69900.1_συνάπτω
συνηνέχθημεν	verb	lex69782.1_συμφέρω
συνηρμόσθαι	verb	lex70334.1_συναρμόζω
συνηυνάζετο	verb	lex71015.1_συνευνάζομαι
συνθέσει	noun	lex72651.1_σύνθεσις
συνθέσεις	noun	lex72651.1_σύνθεσις
συνθέσεως	noun	lex72651.1_σύνθεσις
συνθέσεῶς	noun	lex72651.1_σύνθεσις
συνθέτου	noun	lex71107.1_συνθέτης
συνθέτου	adjective	lex72652.1_σύνθετος
συνθέτω	verb	lex71404.1_συντίθημι
συνθέτω	noun	lex71107.1_συνθέτης
συνθέτω	adjective	lex72652.1_σύνθετος
συνθέτων	adjective	lex72652.1_σύνθετος
συνθέτων	verb	lex71404.1_συντίθημι
συνθέτως	adjective	lex72652.1_σύνθετος
συνθήκαι	noun	lex71110.1_συνθήκη
συνθεμένου	verb	lex71404.1_συντίθημι
συνθεσίαι	noun	lex71120.1_συνθεσία
συνθεσιάων	noun	lex71120.1_συνθεσία
συνθηκῶν	noun	lex71110.1_συνθήκη
συνθέσει	noun	lex72651.1_σύνθεσις
συνθέτω	adjective	lex72652.1_σύνθετος
συνθέτω	noun	lex71107.1_συνθέτης
συνθέτω	verb	lex71404.1_συντίθημι
συνθέτων	verb	lex71404.1_συντίθημι
συνθέτων	adjective	lex72652.1_σύνθετος
συνθέτως	adjective	lex72652.1_σύνθετος
συνθήκας	noun	lex71110.1_συνθήκη
συνθῆκαι	noun	lex71110.1_συνθήκη
συνιστάμενα	verb	lex71195.1_συνιστάω
συνιστάμενα	verb	lex69978.1_συνίστημι
συνιστάμενοι	verb	lex71195.1_συνιστάω
συνιστάμενοι	verb	lex69978.1_συνίστημι
συνιστάνειν	verb	http://data.perseus.org/collections/_σύν-ἱστάνω
συνοίκει	verb	lex71271.1_συνοικέω
συνομολογεῖ	verb	lex71319.1_συνομολογέω
συνοργιάζουσαι	verb	lex71350.1_συνοργιάζω
συνουσίαν	noun	lex71366.1_συνουσία
συνοχή	noun	lex71379.1_συνοχή
συντάξας	verb	lex71395.1_συντάσσω
συντάξει	verb	lex71402.1_συντήκω
συντάξει	verb	lex71395.1_συντάσσω
συντάξει	noun	lex72694.1_σύνταξις
συντάξεις	verb	lex71402.1_συντήκω
συντάξεις	noun	lex72694.1_σύνταξις
συντάξεις	verb	lex71395.1_συντάσσω
συντάξεων	noun	lex72694.1_σύνταξις
συντάξεως	noun	lex72694.1_σύνταξις
συντάσσει	verb	lex71395.1_συντάσσω
συντάσσειν	verb	lex71395.1_συντάσσω
συντάσσεσθαι	verb	lex71395.1_συντάσσω
συντάσσεται	verb	lex71395.1_συντάσσω
συντάσσηται	verb	lex71395.1_συντάσσω
συντάσσοντες	verb	lex71395.1_συντάσσω
συντάττειν	verb	lex71395.1_συντάσσω
συντάττεσθαι	verb	lex71395.1_συντάσσω
συντάττεται	verb	lex71395.1_συντάσσω
συντέθειται	verb	lex71404.1_συντίθημι
συντέμνει	verb	lex71400.1_συντέμνω
συντέτακται	verb	lex71395.1_συντάσσω
συντέτμηκεν	verb	lex71400.1_συντέμνω
συντίθεται	verb	lex71404.1_συντίθημι
συντίθησι	verb	lex71404.1_συντίθημι
συνταγείη	verb	lex71395.1_συντάσσω
συντακτέον	adjective	lex71416.1_συντακτέον
συντασσομένη	verb	lex71395.1_συντάσσω
συντασσόμενον	verb	lex71395.1_συντάσσω
συντείνει	verb	lex71436.1_συντείνω
συντεθέντων	verb	lex71404.1_συντίθημι
συντεθειμένον	verb	lex71404.1_συντίθημι
συντεθὲν	verb	lex71404.1_συντίθημι
συντεκτῆναι	verb	http://data.perseus.org/collections/_σύν-τεκταίνομαι
συντελικὴν	adjective	lex71454.1_συντελικός
συντελικὸν	adjective	lex71454.1_συντελικός
συντελικῇ	adjective	lex71454.1_συντελικός
συντελικῶς	adjective	lex71454.1_συντελικός
συντελουμένων	verb	lex71444.1_συντελέω
συντελούμενος	verb	lex71444.1_συντελέω
συντεταγμένην	verb	lex71395.1_συντάσσω
συντετμημένως	adverb	lex71462.1_συντετμημένως
συντετμημένως	verb	lex71400.1_συντέμνω
συντεχθέντες	verb	http://data.perseus.org/collections/_σύν-τίκτω
συντιθέμενα	verb	lex71404.1_συντίθημι
συντιθέμενον	verb	lex71404.1_συντίθημι
συντιθέμενα	verb	lex71404.1_συντίθημι
συντιθέμενον	verb	lex71404.1_συντίθημι
συντομία	noun	lex71481.1_συντομία
συντομίας	noun	lex71481.1_συντομία
Πηλείδεω	noun	lex7833.1_Πηλείδης
Πηλείδεω	noun	lex7837.1_Πηλεύς
Πηλείδης	noun	lex7837.1_Πηλεύς
Πηλείδης	noun	lex7833.1_Πηλείδης
Πηλεὺς	noun	lex7837.1_Πηλεύς
Πηλεῖ	noun	lex7837.1_Πηλεύς
Πηλέως	noun	lex7837.1_Πηλεύς
Πηνέλεως	noun	lex7846.1_Πηνέλεως
Πηνελόπης	noun	lex7848.1_Πηνελόπη
συντομώτερον	adjective	lex72703.1_σύντομος
συντρίβειν	verb	lex71497.1_συντρίβω
συντριβῇ	noun	lex71503.1_συντριβή
συντριβῇ	verb	lex71497.1_συντρίβω
συντυχὼν	verb	lex71515.1_συντυγχάνω
συντόμως	adjective	lex72703.1_σύντομος
συντόνως	verb	lex71486.1_συντονόω
συντόνως	adjective	lex72704.1_σύντονος
συντάξει	noun	lex72694.1_σύνταξις
συντάξει	verb	lex71402.1_συντήκω
συντάξει	verb	lex71395.1_συντάσσω
συντάξεως	noun	lex72694.1_σύνταξις
συντάσσειν	verb	lex71395.1_συντάσσω
συντάσσεσθαι	verb	lex71395.1_συντάσσω
